model,split,setting,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,notes,train_time_sec,inference_time_sec,examples_per_sec,max_features,ngram_max,C,device,hidden_dim,dropout,lr,weight_decay
logreg,test,tfidf_30k_tuned,TBD,TBD,TBD,TBD,TBD,Run real experiment and replace,,,,,,,,,,,
mlp,test,tfidf_mlp,TBD,TBD,TBD,TBD,TBD,Run real experiment and replace,,,,,,,,,,,
transformer,test,transformer_weighted,TBD,TBD,TBD,TBD,TBD,Optional,,,,,,,,,,,
mlp,validation,sample_mlp,0.08333333333333333,0.038461538461538464,0.012820512820512822,0.020833333333333332,0.25,,17.26463508605957,0.2867326736450195,41.85082867415461,200.0,,,cpu,32.0,0.3,0.001,0.0001
mlp,test,sample_mlp,0.5,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.3333333333333333,,17.26463508605957,0.2312450408935547,51.893004726201966,200.0,,,cpu,32.0,0.3,0.001,0.0001
dummy,validation,majority,0.581,0.18374446552814674,0.427022137887413,0.14525,0.25,,0.0003418922424316,0.0001699924468994,5882614.3057503505,30000.0,2.0,1.0,,,,,
dummy,test,majority,0.626,0.1924969249692497,0.4820123001230012,0.1565,0.25,,0.0003418922424316,0.0001139640808105,8774694.560669456,30000.0,2.0,1.0,,,,,
logreg,validation,tfidf_10k,0.606,0.41559396401172544,0.6201786005677015,0.41112593723795254,0.4397793329652843,,1.2970290184020996,0.0197832584381103,50547.7903515432,10000.0,2.0,1.0,,,,,
logreg,test,tfidf_10k,0.565,0.3971918148023373,0.5819997653870508,0.3960704926912464,0.43102471691980526,,1.2970290184020996,0.0296778678894042,33695.142916820645,10000.0,2.0,1.0,,,,,
logreg,validation,tfidf_10k_C05,0.592,0.4063835489865897,0.6132105166367701,0.3980510162739768,0.45031811883653206,,1.270761013031006,0.0191798210144042,52138.12992566442,10000.0,2.0,0.5,,,,,
logreg,test,tfidf_10k_C05,0.55,0.40053757101109344,0.5729179337556286,0.3917283668924175,0.4614143238326564,,1.270761013031006,0.0194230079650878,51485.33130385682,10000.0,2.0,0.5,,,,,
logreg,validation,tfidf_30k_C1,0.619,0.421553102463898,0.6275700354049161,0.42722491183445566,0.42783600710118097,,1.4199800491333008,0.0210590362548828,47485.55384476044,30000.0,2.0,1.0,,,,,
logreg,test,tfidf_30k_C1,0.577,0.3815874457741927,0.5869650242714339,0.4018020594965675,0.38764888796222574,,1.4199800491333008,0.0211539268493652,47272.546942271714,30000.0,2.0,1.0,,,,,
logreg,validation,tfidf_30k_C2,0.626,0.4039063259006318,0.6322191028904062,0.42081428858808545,0.4030809897271025,,1.4793169498443604,0.0212769508361816,46999.21561596558,30000.0,2.0,2.0,,,,,
logreg,test,tfidf_30k_C2,0.585,0.3446790932007285,0.5899960077260924,0.3741176658527346,0.35173877631751344,,1.4793169498443604,0.0209410190582275,47753.16794371136,30000.0,2.0,2.0,,,,,
mlp,validation,mlp_dropout03,0.598,0.38559427175441696,0.610359150829421,0.38056207280503057,0.40394225148572727,,2.5883281230926514,0.0090570449829101,110411.28777508686,5000.0,,,cpu,256.0,0.3,0.001,0.0001
mlp,test,mlp_dropout03,0.539,0.3260955698495761,0.5543280740136047,0.3326986685232852,0.33909275443202547,,2.5883281230926514,0.0072770118713378,137419.04200249,5000.0,,,cpu,256.0,0.3,0.001,0.0001
mlp,validation,mlp_dropout01,0.583,0.3668652201300162,0.5968503352230444,0.36492041615221904,0.3821431277671332,,1.974095106124878,0.007404088973999,135060.5055546611,5000.0,,,cpu,256.0,0.1,0.001,0.0001
mlp,test,mlp_dropout01,0.552,0.34581962614363415,0.5653276560492947,0.34526574290918555,0.3686560619727679,,1.974095106124878,0.008949041366577148,111743.81244172106,5000.0,,,cpu,256.0,0.1,0.001,0.0001
